"Year","Race","Sex","Age","qx","px","lx","dx","Lx","Tx","ex"
1970,"BlackAll","Both",0,0.03269,0.96731,1,0.03269,0.97297,64.10989,64.11
1970,"BlackAll","Both",1,0.00211,0.99789,0.96731,0.00204,0.96629,63.13692,65.27
1970,"BlackAll","Both",2,0.00147,0.99853,0.96527,0.00142,0.96456,62.17063,64.41
1970,"BlackAll","Both",3,0.00101,0.99899,0.96385,0.00097,0.96337,61.20607,63.5
1970,"BlackAll","Both",4,0.00084,0.99916,0.96288,0.00081,0.96247,60.2427,62.57
1970,"BlackAll","Both",5,0.00074,0.99926,0.96207,0.00071,0.96171,59.28023,61.62
1970,"BlackAll","Both",6,0.00064,0.99936,0.96136,0.00062,0.96105,58.31852,60.66
1970,"BlackAll","Both",7,0.00057,0.99943,0.96074,0.00055,0.96047,57.35747,59.7
1970,"BlackAll","Both",8,5e-04,0.9995,0.96019,0.00048,0.95995,56.397,58.74
1970,"BlackAll","Both",9,0.00045,0.99955,0.95971,0.00043,0.95949,55.43705,57.76
1970,"BlackAll","Both",10,0.00042,0.99958,0.95928,4e-04,0.95908,54.47756,56.79
1970,"BlackAll","Both",11,0.00042,0.99958,0.95888,4e-04,0.95868,53.51848,55.81
1970,"BlackAll","Both",12,0.00048,0.99952,0.95848,0.00046,0.95825,52.5598,54.84
1970,"BlackAll","Both",13,0.00063,0.99937,0.95802,6e-04,0.95772,51.60155,53.86
1970,"BlackAll","Both",14,0.00085,0.99915,0.95742,0.00081,0.95701,50.64383,52.9
1970,"BlackAll","Both",15,0.0011,0.9989,0.95661,0.00105,0.95609,49.68682,51.94
1970,"BlackAll","Both",16,0.00137,0.99863,0.95556,0.00131,0.95491,48.73073,51
1970,"BlackAll","Both",17,0.00162,0.99838,0.95425,0.00155,0.95347,47.77582,50.07
1970,"BlackAll","Both",18,0.00189,0.99811,0.9527,0.0018,0.9518,46.82235,49.15
1970,"BlackAll","Both",19,0.00213,0.99787,0.9509,0.00203,0.94989,45.87055,48.24
1970,"BlackAll","Both",20,0.00242,0.99758,0.94887,0.0023,0.94772,44.92066,47.34
1970,"BlackAll","Both",21,0.00275,0.99725,0.94657,0.0026,0.94527,43.97294,46.46
1970,"BlackAll","Both",22,0.00301,0.99699,0.94397,0.00284,0.94255,43.02767,45.58
1970,"BlackAll","Both",23,0.00316,0.99684,0.94113,0.00297,0.93964,42.08512,44.72
1970,"BlackAll","Both",24,0.00323,0.99677,0.93816,0.00303,0.93665,41.14548,43.86
1970,"BlackAll","Both",25,0.00324,0.99676,0.93513,0.00303,0.93361,40.20883,43
1970,"BlackAll","Both",26,0.00328,0.99672,0.9321,0.00306,0.93057,39.27522,42.14
1970,"BlackAll","Both",27,0.00336,0.99664,0.92904,0.00312,0.92749,38.34465,41.27
1970,"BlackAll","Both",28,0.00347,0.99653,0.92592,0.00321,0.92431,37.41716,40.41
1970,"BlackAll","Both",29,0.00365,0.99635,0.92271,0.00337,0.92103,36.49285,39.55
1970,"BlackAll","Both",30,0.00383,0.99617,0.91934,0.00352,0.91758,35.57182,38.69
1970,"BlackAll","Both",31,0.00402,0.99598,0.91582,0.00368,0.91398,34.65424,37.84
1970,"BlackAll","Both",32,0.00424,0.99576,0.91214,0.00387,0.91021,33.74026,36.99
1970,"BlackAll","Both",33,0.00453,0.99547,0.90827,0.00411,0.90622,32.83005,36.15
1970,"BlackAll","Both",34,0.00486,0.99514,0.90416,0.00439,0.90197,31.92383,35.31
1970,"BlackAll","Both",35,0.0052,0.9948,0.89977,0.00468,0.89743,31.02186,34.48
1970,"BlackAll","Both",36,0.00557,0.99443,0.89509,0.00499,0.89259,30.12443,33.66
1970,"BlackAll","Both",37,0.00599,0.99401,0.8901,0.00533,0.88743,29.23184,32.84
1970,"BlackAll","Both",38,0.00642,0.99358,0.88477,0.00568,0.88193,28.34441,32.04
1970,"BlackAll","Both",39,0.00688,0.99312,0.87909,0.00605,0.87607,27.46248,31.24
1970,"BlackAll","Both",40,0.00734,0.99266,0.87304,0.00641,0.86984,26.58641,30.45
1970,"BlackAll","Both",41,0.00783,0.99217,0.86663,0.00679,0.86323,25.71657,29.67
1970,"BlackAll","Both",42,0.00834,0.99166,0.85984,0.00717,0.85626,24.85334,28.9
1970,"BlackAll","Both",43,0.00892,0.99108,0.85267,0.00761,0.84886,23.99708,28.14
1970,"BlackAll","Both",44,0.00954,0.99046,0.84506,0.00806,0.84103,23.14822,27.39
1970,"BlackAll","Both",45,0.0102,0.9898,0.837,0.00854,0.83274,22.30719,26.65
1970,"BlackAll","Both",46,0.01089,0.98911,0.82846,0.00902,0.82395,21.47445,25.92
1970,"BlackAll","Both",47,0.01161,0.98839,0.81944,0.00951,0.81469,20.6505,25.2
1970,"BlackAll","Both",48,0.01237,0.98763,0.80993,0.01002,0.80492,19.83581,24.49
1970,"BlackAll","Both",49,0.01316,0.98684,0.79991,0.01053,0.79464,19.03089,23.79
1970,"BlackAll","Both",50,0.01402,0.98598,0.78938,0.01107,0.78385,18.23625,23.1
1970,"BlackAll","Both",51,0.01496,0.98504,0.77831,0.01164,0.77249,17.4524,22.42
1970,"BlackAll","Both",52,0.01595,0.98405,0.76667,0.01223,0.76055,16.67991,21.76
1970,"BlackAll","Both",53,0.01697,0.98303,0.75444,0.0128,0.74804,15.91936,21.1
1970,"BlackAll","Both",54,0.01804,0.98196,0.74164,0.01338,0.73495,15.17132,20.46
1970,"BlackAll","Both",55,0.01916,0.98084,0.72826,0.01395,0.72129,14.43637,19.82
1970,"BlackAll","Both",56,0.02034,0.97966,0.71431,0.01453,0.70704,13.71508,19.2
1970,"BlackAll","Both",57,0.02162,0.97838,0.69978,0.01513,0.69221,13.00804,18.59
1970,"BlackAll","Both",58,0.023,0.977,0.68465,0.01575,0.67678,12.31583,17.99
1970,"BlackAll","Both",59,0.02452,0.97548,0.6689,0.0164,0.6607,11.63905,17.4
1970,"BlackAll","Both",60,0.02613,0.97387,0.6525,0.01705,0.64398,10.97835,16.83
1970,"BlackAll","Both",61,0.02787,0.97213,0.63545,0.01771,0.62659,10.33437,16.26
1970,"BlackAll","Both",62,0.02969,0.97031,0.61774,0.01834,0.60858,9.70778,15.71
1970,"BlackAll","Both",63,0.03158,0.96842,0.5994,0.01893,0.58993,9.0992,15.18
1970,"BlackAll","Both",64,0.03351,0.96649,0.58047,0.01945,0.57075,8.50927,14.66
1970,"BlackAll","Both",65,0.03536,0.96464,0.56102,0.01984,0.5511,7.93852,14.15
1970,"BlackAll","Both",66,0.03727,0.96273,0.54118,0.02017,0.5311,7.38742,13.65
1970,"BlackAll","Both",67,0.03939,0.96061,0.52101,0.02052,0.51075,6.85632,13.16
1970,"BlackAll","Both",68,0.04198,0.95802,0.50049,0.02101,0.48999,6.34557,12.68
1970,"BlackAll","Both",69,0.04511,0.95489,0.47948,0.02163,0.46866,5.85558,12.21
1970,"BlackAll","Both",70,0.04886,0.95114,0.45785,0.02237,0.44667,5.38692,11.77
1970,"BlackAll","Both",71,0.05295,0.94705,0.43548,0.02306,0.42395,4.94025,11.34
1970,"BlackAll","Both",72,0.05691,0.94309,0.41242,0.02347,0.40069,4.5163,10.95
1970,"BlackAll","Both",73,0.06016,0.93984,0.38895,0.0234,0.37725,4.11561,10.58
1970,"BlackAll","Both",74,0.06273,0.93727,0.36555,0.02293,0.35408,3.73836,10.23
1970,"BlackAll","Both",75,0.06515,0.93485,0.34262,0.02232,0.33146,3.38428,9.88
1970,"BlackAll","Both",76,0.06794,0.93206,0.3203,0.02176,0.30941,3.05282,9.53
1970,"BlackAll","Both",77,0.07084,0.92916,0.29854,0.02115,0.28797,2.74341,9.19
1970,"BlackAll","Both",78,0.07387,0.92613,0.27739,0.02049,0.26714,2.45544,8.85
1970,"BlackAll","Both",79,0.07707,0.92293,0.2569,0.0198,0.247,2.1883,8.52
1970,"BlackAll","Both",80,0.08022,0.91978,0.2371,0.01902,0.22759,1.9413,8.19
1970,"BlackAll","Both",81,0.08327,0.91673,0.21808,0.01816,0.20899,1.71371,7.86
1970,"BlackAll","Both",82,0.08658,0.91342,0.19992,0.01731,0.19127,1.50472,7.53
1970,"BlackAll","Both",83,0.09025,0.90975,0.18261,0.01648,0.17437,1.31345,7.19
1970,"BlackAll","Both",84,0.09444,0.90556,0.16613,0.01569,0.15829,1.13908,6.86
1970,"BlackAll","Both",85,0.1007,0.8993,0.15044,0.01515,0.14286,0.98079,6.52
1970,"BlackAll","Both",86,0.10777,0.89223,0.13529,0.01458,0.128,0.83793,6.19
1970,"BlackAll","Both",87,0.11581,0.88419,0.12071,0.01398,0.11372,0.70993,5.88
1970,"BlackAll","Both",88,0.12461,0.87539,0.10673,0.0133,0.10009,0.59621,5.59
1970,"BlackAll","Both",89,0.13443,0.86557,0.09343,0.01256,0.08715,0.49612,5.31
1970,"BlackAll","Both",90,0.14517,0.85483,0.08087,0.01174,0.075,0.40897,5.06
1970,"BlackAll","Both",91,0.15652,0.84348,0.06913,0.01082,0.06372,0.33397,4.83
1970,"BlackAll","Both",92,0.16755,0.83245,0.05831,0.00977,0.05343,0.27025,4.63
1970,"BlackAll","Both",93,0.17717,0.82283,0.04854,0.0086,0.04424,0.21682,4.47
1970,"BlackAll","Both",94,0.18578,0.81422,0.03994,0.00742,0.03623,0.17258,4.32
1970,"BlackAll","Both",95,0.19496,0.80504,0.03252,0.00634,0.02936,0.13635,4.19
1970,"BlackAll","Both",96,0.19977,0.80023,0.02618,0.00523,0.02356,0.10699,4.09
1970,"BlackAll","Both",97,0.20477,0.79523,0.02095,0.00429,0.0188,0.08343,3.98
1970,"BlackAll","Both",98,0.20948,0.79052,0.01666,0.00349,0.01492,0.06463,3.88
1970,"BlackAll","Both",99,0.21336,0.78664,0.01317,0.00281,0.01176,0.04971,3.77
1970,"BlackAll","Both",100,0.21718,0.78282,0.01036,0.00225,0.00924,0.03795,3.66
1970,"BlackAll","Both",101,0.21948,0.78052,0.00811,0.00178,0.00722,0.02871,3.54
1970,"BlackAll","Both",102,0.22433,0.77567,0.00633,0.00142,0.00562,0.02149,3.39
1970,"BlackAll","Both",103,0.22607,0.77393,0.00491,0.00111,0.00436,0.01587,3.23
1970,"BlackAll","Both",104,0.22895,0.77105,0.0038,0.00087,0.00336,0.01151,3.03
1970,"BlackAll","Both",105,0.23208,0.76792,0.00293,0.00068,0.00259,0.00815,2.78
1970,"BlackAll","Both",106,0.23111,0.76889,0.00225,0.00052,0.00199,0.00556,2.47
1970,"BlackAll","Both",107,0.23699,0.76301,0.00173,0.00041,0.00152,0.00357,2.06
1970,"BlackAll","Both",108,0.23485,0.76515,0.00132,0.00031,0.00117,0.00205,1.55
1970,"BlackAll","Both",109,0.23762,0.76238,0.00101,0.00024,0.00088,0.00088,0.87
1970,"BlackAll","Females",0,0.02924,0.97076,1,0.02924,0.976,68.30987,68.31
1970,"BlackAll","Females",1,0.00196,0.99804,0.97076,0.0019,0.96981,67.33387,69.36
1970,"BlackAll","Females",2,0.00135,0.99865,0.96886,0.00131,0.9682,66.36406,68.5
1970,"BlackAll","Females",3,0.00092,0.99908,0.96755,0.00089,0.96711,65.39586,67.59
1970,"BlackAll","Females",4,7e-04,0.9993,0.96666,0.00068,0.96632,64.42875,66.65
1970,"BlackAll","Females",5,0.00063,0.99937,0.96598,0.00061,0.96568,63.46243,65.7
1970,"BlackAll","Females",6,0.00053,0.99947,0.96537,0.00051,0.96511,62.49675,64.74
1970,"BlackAll","Females",7,0.00046,0.99954,0.96486,0.00044,0.96464,61.53164,63.77
1970,"BlackAll","Females",8,0.00039,0.99961,0.96442,0.00038,0.96423,60.567,62.8
1970,"BlackAll","Females",9,0.00036,0.99964,0.96404,0.00035,0.96386,59.60277,61.83
1970,"BlackAll","Females",10,0.00034,0.99966,0.96369,0.00033,0.96353,58.63891,60.85
1970,"BlackAll","Females",11,0.00033,0.99967,0.96336,0.00032,0.9632,57.67538,59.87
1970,"BlackAll","Females",12,0.00037,0.99963,0.96304,0.00036,0.96286,56.71218,58.89
1970,"BlackAll","Females",13,0.00045,0.99955,0.96268,0.00043,0.96246,55.74932,57.91
1970,"BlackAll","Females",14,0.00055,0.99945,0.96225,0.00053,0.96199,54.78686,56.94
1970,"BlackAll","Females",15,0.00068,0.99932,0.96172,0.00065,0.96139,53.82487,55.97
1970,"BlackAll","Females",16,0.00081,0.99919,0.96107,0.00078,0.96068,52.86348,55
1970,"BlackAll","Females",17,0.00094,0.99906,0.96029,9e-04,0.95984,51.9028,54.05
1970,"BlackAll","Females",18,0.00105,0.99895,0.95939,0.00101,0.95889,50.94296,53.1
1970,"BlackAll","Females",19,0.00114,0.99886,0.95838,0.00109,0.95783,49.98407,52.15
1970,"BlackAll","Females",20,0.00124,0.99876,0.95729,0.00119,0.9567,49.02624,51.21
1970,"BlackAll","Females",21,0.00136,0.99864,0.9561,0.0013,0.95545,48.06954,50.28
1970,"BlackAll","Females",22,0.00147,0.99853,0.9548,0.0014,0.9541,47.11409,49.34
1970,"BlackAll","Females",23,0.00156,0.99844,0.9534,0.00149,0.95265,46.15999,48.42
1970,"BlackAll","Females",24,0.00164,0.99836,0.95191,0.00156,0.95113,45.20734,47.49
1970,"BlackAll","Females",25,0.00172,0.99828,0.95035,0.00163,0.94954,44.25621,46.57
1970,"BlackAll","Females",26,0.00182,0.99818,0.94872,0.00173,0.94785,43.30667,45.65
1970,"BlackAll","Females",27,0.00192,0.99808,0.94699,0.00182,0.94608,42.35882,44.73
1970,"BlackAll","Females",28,0.00206,0.99794,0.94517,0.00195,0.94419,41.41274,43.82
1970,"BlackAll","Females",29,0.00221,0.99779,0.94322,0.00208,0.94218,40.46855,42.9
1970,"BlackAll","Females",30,0.00237,0.99763,0.94114,0.00223,0.94003,39.52637,42
1970,"BlackAll","Females",31,0.00253,0.99747,0.93891,0.00238,0.93772,38.58634,41.1
1970,"BlackAll","Females",32,0.00274,0.99726,0.93653,0.00257,0.93524,37.64862,40.2
1970,"BlackAll","Females",33,0.00301,0.99699,0.93396,0.00281,0.93255,36.71338,39.31
1970,"BlackAll","Females",34,0.00331,0.99669,0.93115,0.00308,0.92961,35.78083,38.43
1970,"BlackAll","Females",35,0.00363,0.99637,0.92807,0.00337,0.92638,34.85122,37.55
1970,"BlackAll","Females",36,0.00396,0.99604,0.9247,0.00366,0.92287,33.92484,36.69
1970,"BlackAll","Females",37,0.00431,0.99569,0.92104,0.00397,0.91905,33.00197,35.83
1970,"BlackAll","Females",38,0.00468,0.99532,0.91707,0.00429,0.91492,32.08292,34.98
1970,"BlackAll","Females",39,0.00505,0.99495,0.91278,0.00461,0.91048,31.168,34.15
1970,"BlackAll","Females",40,0.00544,0.99456,0.90817,0.00494,0.90569,30.25752,33.32
1970,"BlackAll","Females",41,0.00582,0.99418,0.90323,0.00526,0.9006,29.35183,32.5
1970,"BlackAll","Females",42,0.00624,0.99376,0.89797,0.0056,0.89517,28.45123,31.68
1970,"BlackAll","Females",43,0.0067,0.9933,0.89237,0.00598,0.88938,27.55606,30.88
1970,"BlackAll","Females",44,0.0072,0.9928,0.88639,0.00638,0.8832,26.66668,30.08
1970,"BlackAll","Females",45,0.00773,0.99227,0.88001,0.0068,0.87661,25.78348,29.3
1970,"BlackAll","Females",46,0.00828,0.99172,0.87321,0.00723,0.8696,24.90687,28.52
1970,"BlackAll","Females",47,0.00886,0.99114,0.86598,0.00767,0.86214,24.03727,27.76
1970,"BlackAll","Females",48,0.00944,0.99056,0.85831,0.0081,0.85426,23.17513,27
1970,"BlackAll","Females",49,0.01003,0.98997,0.85021,0.00853,0.84594,22.32087,26.25
1970,"BlackAll","Females",50,0.01068,0.98932,0.84168,0.00899,0.83718,21.47493,25.51
1970,"BlackAll","Females",51,0.01137,0.98863,0.83269,0.00947,0.82796,20.63775,24.78
1970,"BlackAll","Females",52,0.01211,0.98789,0.82322,0.00997,0.81823,19.80979,24.06
1970,"BlackAll","Females",53,0.0129,0.9871,0.81325,0.01049,0.808,18.99156,23.35
1970,"BlackAll","Females",54,0.01369,0.98631,0.80276,0.01099,0.79727,18.18356,22.65
1970,"BlackAll","Females",55,0.01456,0.98544,0.79177,0.01153,0.786,17.38629,21.96
1970,"BlackAll","Females",56,0.01547,0.98453,0.78024,0.01207,0.77421,16.60029,21.28
1970,"BlackAll","Females",57,0.01648,0.98352,0.76817,0.01266,0.76184,15.82608,20.6
1970,"BlackAll","Females",58,0.01762,0.98238,0.75551,0.01331,0.74885,15.06424,19.94
1970,"BlackAll","Females",59,0.01886,0.98114,0.7422,0.014,0.7352,14.31539,19.29
1970,"BlackAll","Females",60,0.02017,0.97983,0.7282,0.01469,0.72086,13.58019,18.65
1970,"BlackAll","Females",61,0.02161,0.97839,0.71351,0.01542,0.70579,12.85933,18.02
1970,"BlackAll","Females",62,0.02319,0.97681,0.69809,0.01619,0.69,12.15354,17.41
1970,"BlackAll","Females",63,0.0249,0.9751,0.6819,0.01698,0.67341,11.46354,16.81
1970,"BlackAll","Females",64,0.02671,0.97329,0.66492,0.01776,0.65604,10.79013,16.23
1970,"BlackAll","Females",65,0.02846,0.97154,0.64716,0.01842,0.63795,10.13409,15.66
1970,"BlackAll","Females",66,0.03024,0.96976,0.62874,0.01901,0.61923,9.49614,15.1
1970,"BlackAll","Females",67,0.03215,0.96785,0.60973,0.0196,0.59994,8.87691,14.56
1970,"BlackAll","Females",68,0.03438,0.96562,0.59013,0.02029,0.57998,8.27697,14.03
1970,"BlackAll","Females",69,0.03705,0.96295,0.56984,0.02111,0.55929,7.69699,13.51
1970,"BlackAll","Females",70,0.04026,0.95974,0.54873,0.02209,0.53768,7.1377,13.01
1970,"BlackAll","Females",71,0.04379,0.95621,0.52664,0.02306,0.51511,6.60002,12.53
1970,"BlackAll","Females",72,0.04724,0.95276,0.50358,0.02379,0.49168,6.08491,12.08
1970,"BlackAll","Females",73,0.05008,0.94992,0.47979,0.02403,0.46777,5.59323,11.66
1970,"BlackAll","Females",74,0.05229,0.94771,0.45576,0.02383,0.44384,5.12546,11.25
1970,"BlackAll","Females",75,0.05431,0.94569,0.43193,0.02346,0.42021,4.68162,10.84
1970,"BlackAll","Females",76,0.0567,0.9433,0.40847,0.02316,0.39689,4.26141,10.43
1970,"BlackAll","Females",77,0.05933,0.94067,0.38531,0.02286,0.37388,3.86452,10.03
1970,"BlackAll","Females",78,0.0623,0.9377,0.36245,0.02258,0.35116,3.49064,9.63
1970,"BlackAll","Females",79,0.06564,0.93436,0.33987,0.02231,0.32872,3.13948,9.24
1970,"BlackAll","Females",80,0.06906,0.93094,0.31756,0.02193,0.3066,2.81076,8.85
1970,"BlackAll","Females",81,0.07249,0.92751,0.29563,0.02143,0.28491,2.50416,8.47
1970,"BlackAll","Females",82,0.07604,0.92396,0.2742,0.02085,0.26378,2.21925,8.09
1970,"BlackAll","Females",83,0.07981,0.92019,0.25335,0.02022,0.24324,1.95547,7.72
1970,"BlackAll","Females",84,0.08386,0.91614,0.23313,0.01955,0.22336,1.71223,7.34
1970,"BlackAll","Females",85,0.0899,0.9101,0.21358,0.0192,0.20398,1.48887,6.97
1970,"BlackAll","Females",86,0.09672,0.90328,0.19438,0.0188,0.18498,1.28489,6.61
1970,"BlackAll","Females",87,0.10462,0.89538,0.17558,0.01837,0.1664,1.09991,6.26
1970,"BlackAll","Females",88,0.11367,0.88633,0.15721,0.01787,0.14827,0.93351,5.94
1970,"BlackAll","Females",89,0.12373,0.87627,0.13934,0.01724,0.13072,0.78524,5.64
1970,"BlackAll","Females",90,0.13505,0.86495,0.1221,0.01649,0.11386,0.65452,5.36
1970,"BlackAll","Females",91,0.14696,0.85304,0.10561,0.01552,0.09785,0.54066,5.12
1970,"BlackAll","Females",92,0.15795,0.84205,0.09009,0.01423,0.08297,0.44281,4.92
1970,"BlackAll","Females",93,0.16702,0.83298,0.07586,0.01267,0.06953,0.35984,4.74
1970,"BlackAll","Females",94,0.17439,0.82561,0.06319,0.01102,0.05768,0.29031,4.59
1970,"BlackAll","Females",95,0.18229,0.81771,0.05217,0.00951,0.04741,0.23263,4.46
1970,"BlackAll","Females",96,0.18706,0.81294,0.04266,0.00798,0.03867,0.18522,4.34
1970,"BlackAll","Females",97,0.19175,0.80825,0.03468,0.00665,0.03135,0.14655,4.23
1970,"BlackAll","Females",98,0.19622,0.80378,0.02803,0.0055,0.02528,0.1152,4.11
1970,"BlackAll","Females",99,0.19973,0.80027,0.02253,0.0045,0.02027,0.08992,3.99
1970,"BlackAll","Females",100,0.20355,0.79645,0.01803,0.00367,0.0162,0.06965,3.86
1970,"BlackAll","Females",101,0.20682,0.79318,0.01436,0.00297,0.01287,0.05345,3.72
1970,"BlackAll","Females",102,0.20983,0.79017,0.01139,0.00239,0.01019,0.04058,3.56
1970,"BlackAll","Females",103,0.21333,0.78667,0.009,0.00192,0.00804,0.03039,3.38
1970,"BlackAll","Females",104,0.21469,0.78531,0.00708,0.00152,0.00632,0.02235,3.16
1970,"BlackAll","Females",105,0.21763,0.78237,0.00556,0.00121,0.00496,0.01603,2.88
1970,"BlackAll","Females",106,0.21839,0.78161,0.00435,0.00095,0.00387,0.01107,2.54
1970,"BlackAll","Females",107,0.22059,0.77941,0.0034,0.00075,0.00303,0.0072,2.12
1970,"BlackAll","Females",108,0.22264,0.77736,0.00265,0.00059,0.00235,0.00417,1.57
1970,"BlackAll","Females",109,0.22816,0.77184,0.00206,0.00047,0.00182,0.00182,0.88
1970,"BlackAll","Males",0,0.03606,0.96394,1,0.03606,0.97002,60.00251,60
1970,"BlackAll","Males",1,0.00224,0.99776,0.96394,0.00216,0.96286,59.03249,61.24
1970,"BlackAll","Males",2,0.00159,0.99841,0.96178,0.00153,0.96101,58.06963,60.38
1970,"BlackAll","Males",3,0.00111,0.99889,0.96025,0.00107,0.95972,57.10862,59.47
1970,"BlackAll","Males",4,0.00096,0.99904,0.95918,0.00092,0.95872,56.1489,58.54
1970,"BlackAll","Males",5,0.00085,0.99915,0.95826,0.00081,0.95785,55.19018,57.59
1970,"BlackAll","Males",6,0.00076,0.99924,0.95745,0.00073,0.95708,54.23233,56.64
1970,"BlackAll","Males",7,0.00068,0.99932,0.95672,0.00065,0.9564,53.27525,55.69
1970,"BlackAll","Males",8,0.00062,0.99938,0.95607,0.00059,0.95577,52.31885,54.72
1970,"BlackAll","Males",9,0.00053,0.99947,0.95548,0.00051,0.95522,51.36308,53.76
1970,"BlackAll","Males",10,0.00049,0.99951,0.95497,0.00047,0.95474,50.40786,52.78
1970,"BlackAll","Males",11,0.00049,0.99951,0.9545,0.00047,0.95426,49.45312,51.81
1970,"BlackAll","Males",12,0.00059,0.99941,0.95403,0.00056,0.95376,48.49886,50.84
1970,"BlackAll","Males",13,0.00081,0.99919,0.95347,0.00077,0.95308,47.5451,49.87
